0a011f1a|	ADCW ZR, R8, R10
1c97250e|	VMLA V5.B8, V24.B8, V28.B8
af97a12e|	VMLS V1.S2, V29.S2, V15.S2
2b061f5e|	VMOV V17.B[15], V11
805e086e|	VMOV V20.D[1], V0.D[0]
d91fbc4e|	VORR V28.B16, V30.B16, V25.B16
a43f040e|	VMOV V29.S[0], R4
fbe6054f|	VMOVI $183, V27.B16
9b75024f|	VORR $(76<<24), V27.S4
8436020f|	VORR $(84<<8), V4.S2
19f5010f|	FMOV $12., V25.S2
02e5062f|	VMOVI $-281470698520576, V2
d6e5066f|	VMOVI $-281470681743616, V22.D2
be9c240e|	VMUL V4.B8, V5.B8, V30.B8
2659202e|	VMVN V9.B8, V6.B8
f394046f|	VBIC $135, V19.H8
d856056f|	VBIC $(182<<16), V24.S4
2f85022f|	VMVNI $73, V15.H4
24baa02e|	VNEG V17.S2, V4.S2
145b206e|	VMVN V24.B16, V20.B16
191fff4e|	VORN V31.B16, V24.B16, V25.B16
6f96004f|	VORR $19, V15.H8
a564020f|	VMOVI $(69<<24), V5.S2
ae1ead0e|	VORR V13.B8, V21.B8, V14.B8
f2e1e00e|	VPMULL V0.D1, V15.D1, V18.Q1
0d426e2e|	VRADDHN V14.S4, V16.S4, V13.H4
4443246e|	VRADDHN2 V4.H8, V26.H8, V4.B16
015b602e|	VRBIT V24.B8, V1.B8
4209202e|	VREV32 V10.B8, V2.B8
d109a04e|	VREV64 V14.S4, V17.S4
5a8e380f|	VRSHRN $8, V18.D2, V26.S2
438d234f|	VRSHRN2 $29, V10.D2, V3.S4
a861716e|	VRSUBHN2 V17.S4, V13.S4, V8.H8
017c2f0e|	VSABA V15.B8, V0.B8, V1.B8
5d51a90e|	VSABAL V9.S2, V10.S2, V29.D2
c076a04e|	VSABD V0.S4, V22.S4, V0.S4
2d722e0e|	VSABDL V14.B8, V17.B8, V13.H8
1f732e4e|	VSABDL2 V14.B16, V24.B16, V31.H8
c628604e|	VSADDLP V6.H8, V6.S4
103b704e|	VSADDLV V24.H8, V16
8f122f0e|	VSADDW V15.B8, V20.H8, V15.H8
30e6755f|	SCVTF $11, F17, F16
73e7544f|	SCVTF $44, V27.D2, V19.D2
51d9615e|	SCVTFDD F10, F17
fad9210e|	SCVTF V15.S2, V26.S2
96c0421e|	SCVTF $16, R4, F22
76e1029e|	SCVTF $8, R11, F22
a791429e|	SCVTF $28, R13, F7
f100221e|	SCVTFWS R7, F17
e101621e|	SCVTFWD R15, F1
6e03229e|	SCVTFS R27, F14
0b01629e|	SCVTFD R8, F11
2401025e|	SHA1C V2.S4, V9, V4
5d08285e|	SHA1H V2, V29
65210d5e|	SHA1M V13.S4, V11, V5
29131a5e|	SHA1P V26.S4, V25, V9
2b311a5e|	SHA1SU0 V26.S4, V9.S4, V11.S4
0919285e|	SHA1SU1 V8.S4, V9.S4
f052035e|	SHA256H2 V3.S4, V23, V16
fe401e5e|	SHA256H V30.S4, V7, V30
7529285e|	SHA256SU0 V11.S4, V21.S4
cc60195e|	SHA256SU1 V25.S4, V6.S4, V12.S4
8b56060f|	VORR $(212<<16), V11.S2
3f3aa16e|	VSHLL2 $32, V17.S4, V31.D2
0986394f|	VSHRN2 $7, V16.D2, V9.S4
35276e4e|	VSHSUB V14.H8, V25.H8, V21.H8
e2556d7f|	VSLI $45, V15, V2
f7541e6f|	VSLI $14, V7.H8, V23.H8
3167630e|	VSMAX V3.H4, V25.H4, V17.H4
68a6230e|	VSMAXP V3.B8, V19.B8, V8.B8
a4aa304e|	VSMAXV V21.B16, V4
2520440f|	VSMLAL V4.H[0], V1.H4, V5.S4
8c286f4f|	VSMLAL2 V15.H[6], V4.H8, V12.S4
3a82660e|	VSMLAL V6.H4, V17.H4, V26.S4
d92f1f0e|	SMOVW V30.B[15], R25
912d114e|	SMOV V12.B[8], R17
b87ae05e|	VSQABS V21, V24
2d7b200e|	VSQABS V25.B8, V13.B8
560f645e|	VSQADD V4, V26, V22
4f0da54e|	VSQADD V5.S4, V10.S4, V15.S4
5992ba5e|	VSQDMLAL V26, V18, V25
b892684e|	VSQDMLAL2 V8.H8, V21.H8, V24.S4
63786e5f|	VSQDMLSL V14.H[6], V3, V3
0c79a10f|	VSQDMLSL V1.S[3], V8.S2, V12.D2
1d73504f|	VSQDMLSL2 V0.H[1], V24.H8, V29.S4
6cb36c5e|	VSQDMLSL V12, V27, V12
82b36e4e|	VSQDMLSL2 V14.H8, V28.H8, V2.S4
8dca5d4f|	VSQDMULH V13.H[5], V20.H8, V13.H8
fcb6b64e|	VSQDMULH V22.S4, V23.S4, V28.S4
d6b0974f|	VSQDMULL2 V23.S[0], V6.S4, V22.D2
afd0b84e|	VSQDMULL2 V24.S4, V5.S4, V15.D2
067b207e|	VSQNEG V24, V6
9979606e|	VSQNEG V12.H8, V25.H8
bfdbae0f|	VSQRDMULH V14.S[3], V29.S2, V31.S2
c3b7a07e|	VSQRDMULH V0, V30, V3
845d3d5e|	VSQRSHL V29, V12, V4
495dba0e|	VSQRSHL V26.S2, V10.S2, V9.S2
fa8e0d7f|	VSQRSHRUN $3, V23, V26
cf75185f|	VSQSHL $8, V14, V15
a975250f|	VSQSHL $5, V13.S2, V9.S2
424da05e|	VSQSHL V0, V10, V2
464db90e|	VSQSHL V25.S2, V10.S2, V6.S2
af656d7f|	VSQSHLU $45, V13, V15
e564436f|	VSQSHLU $3, V7.D2, V5.D2
c1973b5f|	VSQSHRN $5, V30, V1
d586036f|	VMVNI $118, V21.H8
4c2ea95e|	VSQSUB V9, V18, V12
df2efe4e|	VSQSUB V30.D2, V22.D2, V31.D2
c149a10e|	VSQXTN V14.D2, V1.S2
712a217e|	VSQXTUN V19, V17
9a29a12e|	VSQXTUN V12.D2, V26.S2
6a166e0e|	VSRHADD V14.H4, V19.H4, V10.H4
0445647f|	VSRI $28, V8, V4
6f44172f|	VSRI $9, V3.H4, V15.H4
cd56f94e|	VSRSHL V25.D2, V22.D2, V13.D2
12345b5f|	VSRSRA $37, V0, V18
f746fa5e|	VSSHL V26, V23, V23
89476c4e|	VSSHL V12.H8, V28.H8, V9.H8
0da60e0f|	VSSHLL $6, V16.B8, V13.H8
a504585f|	VSSHR $40, V5, V5
3b07544f|	VSSHR $44, V25.D2, V27.D2
3417350f|	VSSRA $11, V25.S2, V20.S2
1a213f0e|	VSSUBL V31.B8, V8.B8, V26.H8
1322a34e|	VSSUBL2 V3.S4, V16.S4, V19.D2
e931b84e|	VSSUBW2 V24.S4, V15.D2, V9.D2
dd7d004c|	VST1 [V29.D2], (R14)
cea4000c|	VST1 [V14.H4, V15.H4], (R6)
5a64000c|	VST1 [V26.H4, V27.H4, V28.H4], (R2)
2b2c004c|	VST1 [V11.D2, V12.D2, V13.D2, V14.D2], (R1)
39719f0c|	VST1.P [V25.B8], 8(R9)
b771874c|	VST1.P [V23.B16], (R13)(R7)
1da39f0c|	VST1.P [V29.B8, V30.B8], 16(R24)
20a0800c|	VST1.P [V0.B8, V1.B8], (R1)(R0)
5a6a9f4c|	VST1.P [V26.S4, V27.S4, V28.S4], 48(R18)
0d69994c|	VST1.P [V13.S4, V14.S4, V15.S4], (R8)(R25)
7e239f0c|	VST1.P [V30.B8, V31.B8, V0.B8, V1.B8], 32(R27)
9a2d8e0c|	VST1.P [V26.D1, V27.D1, V28.D1, V29.D1], (R12)(R14)
fd0b004d|	VST1 V29.B[10], (RSP)
1058004d|	VST1 V16.H[7], (R0)
0593000d|	VST1 V5.S[1], (R24)
3d87000d|	VST1 V29.D[0], (R25)
1a079f0d|	VST1.P V26.B[1], 1(R24)
421b8f4d|	VST1.P V2.B[14], (R26)(R15)
54489f4d|	VST1.P V20.H[5], 2(R2)
c4809f4d|	VST1.P V4.S[2], 4(R6)
0481840d|	VST1.P V4.S[0], (R8)(R4)
6b859f0d|	VST1.P V11.D[0], 8(R11)
f7878e4d|	VST1.P V23.D[1], (RSP)(R14)
e788004c|	VST2 (R7), [V7.S4, V8.S4]
79889f0c|	VST2 16(R3), [V25.S2, V26.S2]
a502204d|	ST2 (R21), [V5.B, V6.B][8]
0e50204d|	ST2 (R0), [V14.H, V15.H][6]
6b93204d|	ST2 (R27), [V11.S, V12.S][3]
0987200d|	ST2 (R24), [V9.D, V10.D][0]
7003bf0d|	ST2 2(R27), [V16.B, V17.B][0]
1a09a94d|	ST2 (R8)(R9), [V26.B, V27.B][10]
1e43b00d|	ST2 (R24)(R16), [V30.H, V31.H][0]
1a82bf0d|	ST2 8(R16), [V26.S, V27.S][0]
9892a50d|	ST2 (R20)(R5), [V24.S, V25.S][1]
5884bf0d|	ST2 16(R2), [V24.D, V25.D][0]
9e87a34d|	ST2 (R28)(R3), [V30.D, V31.D][1]
4e47004c|	VST3 (R26), [V14.H8, V15.H8, V16.H8]
76489f4c|	VST3 48(R3), [V22.S4, V23.S4, V24.S4]
3b48860c|	VST3 (R1)(R6), [V27.S2, V28.S2, V29.S2]
e52a000d|	ST3 (R23), [V5.B, V6.B, V7.B][2]
6f73004d|	ST3 (R27), [V15.H, V16.H, V17.H][6]
9bb1004d|	ST3 (R12), [V27.S, V28.S, V29.S][3]
0ca7000d|	ST3 (R24), [V12.D, V13.D, V14.D][0]
2a259f0d|	ST3 3(R9), [V10.B, V11.B, V12.B][1]
0524860d|	ST3 (R0)(R6), [V5.B, V6.B, V7.B][1]
94689a4d|	ST3 (R4)(R26), [V20.H, V21.H, V22.H][5]
c2a19f4d|	ST3 12(R14), [V2.S, V3.S, V4.S][2]
5fb38c0d|	ST3 (R26)(R12), [V31.S, V0.S, V1.S][1]
6da59f4d|	ST3 24(R11), [V13.D, V14.D, V15.D][1]
32a7924d|	ST3 (R25)(R18), [V18.D, V19.D, V20.D][1]
5b03000c|	VST4 (R26), [V27.B8, V28.B8, V29.B8, V30.B8]
cd059f0c|	VST4 32(R14), [V13.H4, V14.H4, V15.H4, V16.H4]
8601820c|	VST4 (R12)(R2), [V6.B8, V7.B8, V8.B8, V9.B8]
7925200d|	ST4 (R11), [V25.B, V26.B, V27.B, V28.B][1]
cd7a204d|	ST4 (R22), [V13.H, V14.H, V15.H, V16.H][7]
dfb2204d|	ST4 (R22), [V31.S, V0.S, V1.S, V2.S][3]
daa4200d|	ST4 (R6), [V26.D, V27.D, V28.D, V29.D][0]
2135bf0d|	ST4 4(R9), [V1.B, V2.B, V3.B, V4.B][5]
7727a90d|	ST4 (R27)(R9), [V23.B, V24.B, V25.B, V26.B][1]
b4a3bf0d|	ST4 16(R29), [V20.S, V21.S, V22.S, V23.S][0]
1ba3ae0d|	ST4 (R24)(R14), [V27.S, V28.S, V29.S, V30.S][0]
93a4bf0d|	ST4 32(R4), [V19.D, V20.D, V21.D, V22.D][0]
50a6b80d|	ST4 (R18)(R24), [V16.D, V17.D, V18.D, V19.D][0]
79b53d2c|	VSTNP -20(R11), V13, V25
d895326c|	VSTNP -216(R14), V5, V24
d1810dac|	VSTNP 432(R14), V0, V17
08728c2c|	STP.P (V8, V28), 96(R16)
ac1ba16c|	STP.P (V12, V6), -496(R29)
f4fab1ac|	STP.P (V20, V30), -464(R23)
c15bbe2d|	STP.W (V1, V22), -16(R30)
2422856d|	STP.W (V4, V8), 80(R17)
3d5282ad|	STP.W (V29, V20), 64(R17)
5df5352d|	STP (V29, V29), -84(R10)
5c54286d|	STP (V28, V21), -384(R2)
753c11ad|	STP (V21, V15), 544(R3)
54e4033c|	MOVD.P V20, 62(R2)
aa54137c|	MOVD.P V10, -203(R5)
c9d615bc|	FMOVS.P F9, -163(R22)
fc471efc|	FMOVD.P F28, -28(RSP)
20f78d3c|	MOVD.P V0, 223(R25)
028d1b3c|	MOVD.W V2, -72(R8)
35be037c|	MOVD.W V21, 59(R17)
b98c15bc|	FMOVS.W F25, -168(R5)
fd1e11fc|	FMOVD.W F29, -239(R23)
13ec9a3c|	MOVD.W V19, -82(R0)
b12d123d|	MOVD V17, 1163(R13)
d6500b7d|	MOVD V22, 1448(R6)
d46e39bd|	FMOVS F20, 14700(R22)
b84f30fd|	FMOVD F24, 24728(R29)
3cee993d|	MOVD V28, 26544(R17)
4348293c|	MOVD V3, (R2)(R9.UXTW)
ed7b253c|	MOVD V13, (RSP)(R5)
8fc9357c|	MOVD V15, (R12)(R21.SXTW)
87f832bc|	FMOVS F7, (R4)(R18.SXTX<<2)
f1ea38fc|	FMOVD F17, (R23)(R24.SXTX)
1c68a43c|	MOVD V28, (R0)(R4)
dcb1023c|	MOVD V28, 43(R14)
6701117c|	MOVD V7, -240(R11)
85b11bbc|	FMOVS F5, -69(R12)
8ea10efc|	FMOVD F14, 234(R12)
eab08f3c|	MOVD V10, 251(R7)
ca876a2e|	VSUB V10.H4, V30.H4, V10.H4
603be05e|	VSUQADD V27, V0
513a600e|	VSUQADD V18.H4, V17.H4
25231c4e|	VTBL V28.B16, [V25.B16, V26.B16], V5.B16
8c40100e|	VTBL V16.B8, [V4.B16, V5.B16, V6.B16], V12.B8
0462040e|	VTBL V4.B8, [V16.B16, V17.B16, V18.B16, V19.B16], V4.B8
34000f0e|	VTBL V15.B8, [V1.B16], V20.B8
eb301f4e|	VTBX V31.B16, [V7.B16, V8.B16], V11.B16
bb51124e|	VTBX V18.B16, [V13.B16, V14.B16, V15.B16], V27.B16
cf701d0e|	VTBX V29.B8, [V6.B16, V7.B16, V8.B16, V9.B16], V15.B8
4213080e|	VTBX V8.B8, [V26.B16], V2.B8
2b2b114e|	VTRN1 V17.B16, V25.B16, V11.B16
766ada4e|	VTRN2 V26.D2, V19.D2, V22.D2
4152672e|	VUABAL V7.H4, V18.H4, V1.S4
0953296e|	VUABAL2 V9.B16, V24.B16, V9.H8
41756c6e|	VUABD V12.H8, V10.H8, V1.H8
3670ae2e|	VUABDL V14.S2, V1.S2, V22.D2
5401312e|	VUADDL V17.B8, V10.B8, V20.H8
d103286e|	VUADDL2 V8.B16, V30.B16, V17.H8
a92a206e|	VUADDLP V21.B16, V9.H8
b839706e|	VUADDLV V13.H8, V24
ea106d2e|	VUADDW V13.H4, V7.S4, V10.S4
c010726e|	VUADDW2 V18.H8, V6.S4, V0.S4
e7e5517f|	UCVTF $47, F15, F7
49e7376f|	UCVTF $9, V26.S4, V9.S4
4ada617e|	UCVTFDD F18, F10
6b82431e|	UCVTF $32, R19, F11
db84039e|	UCVTF $31, R6, F27
1c72439e|	UCVTF $36, R16, F28
f301231e|	UCVTFWS R15, F19
3503631e|	UCVTFWD R25, F21
e602239e|	UCVTFS R23, F6
d503639e|	UCVTFD R30, F21
ec04606e|	VUHADD V0.H8, V7.H8, V12.H8
3f65782e|	VUMAX V24.H4, V9.H4, V31.H4
afa6232e|	VUMAXP V3.B8, V21.B8, V15.B8
cdaa706e|	VUMAXV V22.H8, V13
736c236e|	VUMIN V3.B16, V3.B16, V19.B16
a0afa62e|	VUMINP V6.S2, V29.S2, V0.S2
3c229e2f|	VUMLAL V30.S[0], V17.S2, V28.D2
9d29a56f|	VUMLAL2 V5.S[3], V12.S4, V29.D2
6c80392e|	VUMLAL V25.B8, V3.B8, V12.H8
4f60692f|	VUMLSL V9.H[2], V2.H4, V15.S4
61a1606e|	VUMLSL2 V0.H8, V11.H8, V1.S4
183e0b0e|	VMOV V16.B[5], R24
c0a89b6f|	VUMULL2 V27.S[2], V6.S4, V0.D2
36c0736e|	VUMULL2 V19.H8, V1.H8, V22.S4
120d757e|	VUQADD V21, V8, V18
3a0c2e2e|	VUQADD V14.B8, V1.B8, V26.B8
0d5d617e|	VUQRSHL V1, V8, V13
4d5cb16e|	VUQRSHL V17.S4, V2.S4, V13.S4
439c382f|	VUQRSHRN $8, V2.D2, V3.S2
9d745c7f|	VUQSHL $28, V4, V29
7b76656f|	VUQSHL $37, V19.D2, V27.D2
774ef37e|	VUQSHL V19, V19, V23
124eb32e|	VUQSHL V19.S2, V16.S2, V18.S2
bc961f6f|	VUQSHRN2 $1, V21.S4, V28.H8
a62ce07e|	VUQSUB V0, V5, V6
0f2dae2e|	VUQSUB V14.S2, V8.S2, V15.S2
b24b217e|	VUQXTN V29, V18
f148216e|	VUQXTN2 V7.H8, V17.B16
7d15a42e|	VURHADD V4.S2, V11.S2, V29.S2
9055fc6e|	VURSHL V28.D2, V12.D2, V16.D2
eb275e7f|	VURSHR $34, V31, V11
c0347c7f|	VURSRA $4, V6, V0
fe44e97e|	VUSHL V9, V7, V30
fa47e86e|	VUSHL V8.D2, V31.D2, V26.D2
95a7262f|	VUSHLL $6, V28.S2, V21.D2
9ca7096f|	VUSHLL2 $1, V28.B16, V28.H8
8a07527f|	VUSHR $46, V28, V10
c7076b6f|	VUSHR $21, V30.D2, V7.D2
8d39e07e|	VUSQADD V12, V13
f716727f|	VUSRA $14, V23, V23
3f14066f|	VBIC $193, V31.S4
b423ac2e|	VUSUBL V12.S2, V29.S2, V20.D2
7c22736e|	VUSUBL2 V19.H8, V19.H8, V28.S4
76317d2e|	VUSUBW V29.H4, V11.S4, V22.S4
8f302a6e|	VUSUBW2 V10.B16, V4.H8, V15.H8
c5a4286f|	VUSHLL2 $8, V6.S4, V5.D2
d3198c0e|	VUZP1 V12.S2, V14.S2, V19.S2
c05bdb4e|	VUZP2 V27.D2, V30.D2, V0.D2
362b610e|	VXTN V25.S4, V22.H4
0c29214e|	VXTN2 V8.H8, V12.B16
2b39c64e|	VZIP1 V6.D2, V9.D2, V11.D2
9500091a|	ADCW R9, R4, R21
c2001a9a|	ADC R26, R6, R2
6a02163a|	ADCSW R22, R19, R10
0c0118ba|	ADCS R24, R8, R12
b1c42b0b|	ADDW R11.SXTW<<1, R5, R17
bf15368b|	ADD R22.UXTB<<5, R13, RSP
be1f468b|	ADD R6>>7, R29, R30
8f51352b|	ADDSW R21.UXTW<<4, R12, R15
97043eab|	ADDS R30.UXTB<<1, R4, R23
09b00931|	ADDSW $620, R0, R9
4de204ab|	ADDS R4<<56, R18, R13
f6b60912|	ANDW $4288675743, R23, R22
a6d13b92|	AND $-2025524839466146845, R13, R6
1cc0138a|	AND R19<<48, R0, R28
73882072|	ANDSW $458759, R3, R19
b5780af2|	ANDS $-9007199256838145, R5, R21
766c90ea|	ANDS R16->27, R3, R22
a72ac31a|	ASRW R3, R21, R7
ff28d59a|	ASR R21, R7, ZR
3e7f0913|	ASRW $9, R25, R30
bafd5493|	ASR $20, R13, R26
302ad21a|	ASRW R18, R17, R16
602bd79a|	ASR R23, R27, R0
4fa4df54|	BAL -66270(PC)
a2e9cf15|	JMP 30402978(PC)
eff373b3|	BFXIL $51, ZR, $10, R15
9e3e7db3|	BFI $3, R20, $16, R30
87fa41b3|	BFXIL $1, R20, $62, R7
b831f80a|	BICW R24@>12, R13, R24
ffe0ae8a|	BIC R14->56, R7, ZR
7c2c276a|	BICSW R7<<11, R3, R28
ccf2fbea|	BICS R27@>60, R22, R12
722cd195|	CALL 30485618(PC)
20003fd6|	CALL (R1)
e0021fd6|	JMP (R23)
80db37d4|	BRK $48860
f25a4335|	CBNZW R18, 137943(PC)
5d5376b5|	CBNZ R29, 242330(PC)
5ce56834|	CBZW R28, 214826(PC)
29b08cb4|	CBZ R9, -236159(PC)
e048533a|	CCMNW MI, R7, $19, $0
e7da4fba|	CCMN LE, R23, $15, $7
67f2583a|	CCMNW AL, R19, R24, $7
60a05aba|	CCMN GE, R3, R26, $0
6a3b517a|	CCMPW LO, R27, $17, $10
8a4b55fa|	CCMP MI, R28, $21, $10
ed934b7a|	CCMPW LS, ZR, R11, $13
24414ffa|	CCMP MI, R9, R15, $4
0e169c1a|	CSINCW NE, R16, R28, R14
8264949a|	CSINC VS, R4, R20, R2
b363935a|	CSINVW VS, R29, R19, R19
ff619dda|	CSINV VS, R15, R29, ZR
5f3703d5|	CLREX $7
0017c05a|	CLSW R24, R0
8216c0da|	CLS R20, R2
3310c05a|	CLZW R1, R19
6e13c0da|	CLZ R27, R14
7fd02b2b|	CMNW R11.SXTW<<4, R3
5f3928ab|	CMN R8.UXTH<<6, R10
1fb92cb1|	CMN $2862, R8
ff164eab|	CMN R14>>5, R23
ff71256b|	CMPW R5.UXTX<<4, R15
df6034eb|	CMP R20.UXTX, R6
ff776af1|	CMP $(2717<<12), RSP
80e4855a|	CSNEGW AL, R4, R5, R0
da3490da|	CSNEG LO, R6, R16, R26
af40c71a|	CRC32B R7, R5, R15
c546cf1a|	CRC32H R15, R22, R5
6148c01a|	CRC32W R0, R3, R1
0f4eda9a|	CRC32X R26, R16, R15
4950d01a|	CRC32CB R16, R2, R9
8155c31a|	CRC32CH R3, R12, R1
835ace1a|	CRC32CW R14, R20, R3
f05fc59a|	CRC32CX R5, ZR, R16
0ae3901a|	CSELW AL, R24, R16, R10
ed51969a|	CSEL PL, R15, R22, R13
ee679f1a|	CSETW VC, R14
ed579f9a|	CSET MI, R13
f2539f5a|	CSETMW MI, R18
ffe39fda|	CSINV AL, ZR, ZR, ZR
9d25941a|	CSINCW HS, R12, R20, R29
afb7829a|	CSINC LT, R29, R2, R15
7602895a|	CSINVW EQ, R19, R9, R22
011394da|	CSINV NE, R24, R20, R1
68b7935a|	CSNEGW LT, R27, R19, R8
a32784da|	CSNEG HS, R29, R4, R3
8159a6d4|	DCPS1 $13004
c2d9aad4|	DCPS2 $22222
63ceb7d4|	DCPS3 $48755
bf3903d5|	DMB $9
e003bfd6|	DRPS
9f3603d5|	DSB $6
fc76a9ca|	EON R9->29, R23, R28
540f2352|	EORW $3758096385, R26, R20
187e1ed2|	EOR $-1, R16, R24
fd37004a|	EORW R0<<13, ZR, R29
b8c542ca|	EOR R2>>49, R13, R24
e0039fd6|	ERET
5f26c193|	EXTR $9, R1, R18, ZR
7f2003d5|	WFI
ff2a03d5|	HINT $87
804a59d4|	HLT $51796
df3003d5|	ISB $0
10fcdf88|	LDARW (R0), R16
fafcdfc8|	LDAR (R7), R26
30fedf08|	LDARB (R17), R16
63fedf48|	LDARH (R19), R3
82ba7f88|	LDAXPW (R20), (R2, R14)
d6917fc8|	LDAXP (R14), (R22, R4)
59ff5f88|	LDAXRW (R26), R25
fefe5fc8|	LDAXR (R23), R30
a0fc5f08|	LDAXRB (R5), R0
fafd5f48|	LDAXRH (R15), R26
b8804428|	LDNPW 36(R5), R0, R24
93e969a8|	LDNP -360(R12), R26, R19
caccef28|	LDP.P -132(R6), (R10, R19)
7365c3a8|	LDP.P 48(R11), (R19, R25)
3106ca29|	LDP.W 80(R17), (R17, R1)
0c02f7a9|	LDP.W -144(R16), (R12, R0)
41af6529|	LDP -212(R26), (R1, R11)
706b65a9|	LDP -432(R27), (R16, R26)
746ecf68|	LDPSW 120(R19), R27, R20
c051c669|	LDPSW 48(R14), R20, R0
aded5b69|	LDPSW 220(R13), R27, R13
990457b8|	MOVWU.P -144(R4), R25
bbd556f8|	MOVD.P -147(R13), R27
a45c51b8|	MOVWU.W -235(R5), R4
344c41f8|	MOVD.W 20(R1), R20
2d8755b9|	MOVWU 5508(R25), R13
56e360f9|	MOVD 16832(R26), R22
3b264e38|	MOVBU.P 226(R17), R27
898f5738|	MOVBU.W -136(R28), R9
c44e6839|	MOVBU 2579(R22), R4
2d687738|	MOVBU (R1)(R23), R13
4d475978|	MOVHU.P -108(R26), R13
39de5278|	MOVHU.W -211(R17), R25
9cc54879|	MOVHU 1122(R12), R28
87fb6978|	MOVHU (R28)(R9.SXTX<<1), R7
3967cb38|	MOVBW.P 182(R25), R25
abf69438|	MOVB.P -177(R21), R11
159ed138|	MOVBW.W -231(R16), R21
b63e8038|	MOVB.W 3(R21), R22
4491c939|	MOVBW 612(R10), R4
497e8039|	MOVB 31(R18), R9
7d6bf638|	MOVBW (R27)(R22), R29
e578ba38|	MOVB (R7)(R26), R5
9f06ca78|	MOVHW.P 160(R20), ZR
15c59d78|	MOVH.P -36(R8), R21
c07fd278|	MOVHW.W -217(R30), R0
bdec9278|	MOVH.W -210(R5), R29
10e2c979|	MOVHW 1264(R16), R16
54d29d79|	MOVH 3816(R18), R20
eb9484b8|	MOVW.P 73(R7), R11
ba2e8ab8|	MOVW.W 162(R21), R26
ac7f8ab9|	MOVW 2684(R29), R12
a359b3b8|	MOVW (R13)(R19.UXTW<<2), R3
f8b941b8|	LDTRW 27(R15), R24
fc0a4ef8|	LDTR 224(R23), R28
60d84638|	LDTRBW 109(R3), R0
44685978|	LDTRH -106(R2), R4
5379dc38|	LDTRSBW -57(R10), R19
ade99538|	LDTRSB -162(R13), R13
905ac078|	LDTRSHW 5(R20), R16
10898478|	LDTRSH 72(R8), R16
37188eb8|	LDTRSW 225(R1), R23
992351b8|	LDURW -238(R28), R25
c9f155f8|	LDUR -161(R14), R9
76e14e38|	LDURBW 238(R11), R22
47b24478|	LDURHW 75(R18), R7
4020da38|	LDURSBW -94(R2), R0
0dd09e38|	LDURSB -19(R0), R13
8f81d478|	LDURSHW -184(R12), R15
96918378|	LDURSH 57(R12), R22
b2e383b8|	LDURSW 62(R29), R18
d3717f88|	LDXPW (R14), (R19, R28)
cb677fc8|	LDXP (R30), (R11, R25)
ed7c5f88|	LDXRW (R7), R13
aa7d5fc8|	LDXR (R13), R10
1c7d5f08|	LDXRB (R8), R28
de7f5f48|	LDXRH (R30), R30
1622dc1a|	LSLW R28, R16, R22
cd20d59a|	LSL R21, R6, R13
882957d3|	UBFIZ $41, R12, $11, R8
3320cc1a|	LSLW R12, R1, R19
7320de9a|	LSL R30, R3, R19
af25d31a|	LSRW R19, R13, R15
e426c39a|	LSR R3, R23, R4
e87f0653|	LSRW $6, ZR, R8
85fe5fd3|	LSR $31, R20, R5
0025dc1a|	LSRW R28, R8, R0
6e27c79a|	LSR R7, R27, R14
6d69111b|	MADDW R17, R26, R11, R13
245d0d9b|	MADD R13, R23, R9, R4
85fe1f1b|	MNEGW ZR, R20, R5
9bfc199b|	MNEG R25, R4, R27
13000011|	ADDW $0, R0, R19
e3000091|	ADD $0, R7, R3
986c9e12|	MOVW $4294904987, R24
cb24f092|	MOVD $9140618393701842943, R11
3cbb88d2|	MOVD $17881, R28
e4170232|	MOVW $3221225487, R4
fe636bb2|	MOVD $70368742080512, R30
ed031b2a|	MOVW R27, R13
fb0308aa|	MOVD R8, R27
be3ed1f2|	MOVK $(35317<<32), R30
e0a08312|	MOVW $4294959864, R0
a1a6e592|	MOVD $-3257509905472421889, R1
5260f0d2|	MOVD $-9006636304787570688, R18
a60739d5|	MRS $18493, R6
281a1ed5|	MSR R8, S3_6_C1_C10_1
10f31b1b|	MSUBW R27, R28, R24, R16
46b41a9b|	MSUB R26, R13, R2, R6
ec7f041b|	MULW R4, ZR, R12
147f009b|	MUL R0, R24, R20
f67f692a|	MVNW R9>>31, R22
f2a3f7aa|	MVN R23@>40, R18
fe8b0bcb|	NEG R11<<34, R30
fef710eb|	NEGS R16<<61, R30
e0031b5a|	NGCW R27, R0
e0031dda|	NGC R29, R0
f003167a|	NGCSW R22, R16
e60302fa|	NGCS R2, R6
1f2003d5|	NOP
2f51732a|	ORNW R19>>20, R9, R15
9b0facaa|	ORN R12->3, R28, R27
efa40032|	ORRW $67044351, R7, R15
3a0b19b2|	ORR $3848290698112, R25, R26
4b9ec4aa|	ORR R4@>39, R18, R11
f5eaa2f9|	PRFM 17872(R23), PSTL3STRM
731df8d8|	PRFM -16149(PC), PSTL2STRM
85c194f8|	PRFUM -180(R12), PLDL3STRM
c303c05a|	RBITW R30, R3
3000c0da|	RBIT R1, R16
20025fd6|	RET R17
ec08c05a|	REVW R7, R12
180cc0da|	REV R0, R24
4b07c05a|	REV16W R26, R11
7805c0da|	REV16 R11, R24
ea08c0da|	REV32 R7, R10
a90fc0da|	REV R29, R9
fd788213|	EXTRW $30, R2, R7, R29
e1a0cc93|	EXTR $40, R12, R7, R1
792fdc1a|	RORW R28, R27, R25
